country,season_start,team_a,team_b,is_rival
England,2022,man utd,tottenham,TRUE
England,2022,liverpool,tottenham,TRUE
Italy,2018,atalanta,roma,TRUE
Italy,2020,atalanta,inter,TRUE
Italy,2020,atalanta,lazio,TRUE
Italy,2020,atalanta,roma,TRUE
Italy,2020,inter,lazio,TRUE
Italy,2020,inter,roma,TRUE
Italy,2020,inter,napoli,TRUE
Italy,2020,inter,juventus,TRUE
Italy,2022,lazio,roma,TRUE
Italy,2022,atalanta,lazio,TRUE
Italy,2022,inter,lazio,TRUE
Italy,2022,juventus,lazio,TRUE
Italy,2022,atalanta,roma,TRUE
Italy,2022,juventus,roma,TRUE
Italy,2022,inter,roma,TRUE
Germany,2022,dortmund,leipzig,TRUE
Germany,2022,dortmund,leverkusen,TRUE
Germany,2022,bayern munich,dortmund,TRUE
Germany,2022,leipzig,leverkusen,TRUE
Germany,2022,frankfurt,leipzig,TRUE
Italy,2020,lazio,roma,TRUE
Italy,2020,lazio,napoli,TRUE
Italy,2022,fc empoli,salernitana,TRUE
Spain,2020,celta de vigo,real betis,TRUE
Italy,2024,lazio,roma,TRUE
Italy,2024,atalanta,lazio,TRUE
Italy,2024,juventus,lazio,TRUE
Italy,2024,fiorentina,lazio,TRUE
Italy,2024,inter,lazio,TRUE
Italy,2024,atalanta,roma,TRUE
Italy,2024,juventus,roma,TRUE
Italy,2024,fiorentina,roma,TRUE
Italy,2024,inter,roma,TRUE
England,2023,crystal palace,west ham,TRUE
England,2023,crystal palace,everton,TRUE
Spain,2021,athletic club,real sociedad,TRUE
Spain,2021,athletic club,celta de vigo,TRUE
Spain,2021,athletic club,real betis,TRUE
Spain,2021,celta de vigo,real sociedad,TRUE
Spain,2021,real betis,real sociedad,TRUE
England,2021,liverpool,man utd,TRUE
Italy,2021,sampdoria,sassuolo,TRUE
Spain,2024,getafe,valencia,TRUE
Spain,2024,getafe,sevilla fc,TRUE
Spain,2024,getafe,villarreal,TRUE
Spain,2024,sevilla fc,valencia,TRUE
Spain,2024,valencia,villarreal,TRUE
Spain,2024,atlético,valencia,TRUE
Spain,2024,real madrid,valencia,TRUE
Italy,2021,lazio,roma,TRUE
Italy,2021,atalanta,lazio,TRUE
Italy,2021,inter,lazio,TRUE
Italy,2021,lazio,napoli,TRUE
Italy,2021,atalanta,roma,TRUE
Italy,2021,inter,roma,TRUE
Italy,2021,juventus,roma,TRUE
Germany,2023,dortmund,leipzig,TRUE
Germany,2023,dortmund,leverkusen,TRUE
Germany,2023,bayern munich,dortmund,TRUE
Germany,2023,leipzig,leverkusen,TRUE
Germany,2023,frankfurt,leipzig,TRUE
Germany,2023,freiburg,leipzig,TRUE
Italy,2019,fiorentina,torino,TRUE
Italy,2019,fiorentina,sampdoria,TRUE
Italy,2019,sampdoria,torino,TRUE
Spain,2019,valencia,villarreal,TRUE
England,2024,crystal palace,everton,TRUE
England,2024,crystal palace,west ham,TRUE
Germany,2024,dortmund,leipzig,TRUE
Germany,2024,dortmund,leverkusen,TRUE
Germany,2024,bayern munich,dortmund,TRUE
Germany,2024,leipzig,leverkusen,TRUE
Germany,2024,frankfurt,leipzig,TRUE
Germany,2024,freiburg,leipzig,TRUE
Germany,2024,hoffenheim,leipzig,TRUE
France,2022,clermont foot,troyes,TRUE
France,2021,angers sco,fc nantes,TRUE
France,2021,angers sco,g. bordeaux,TRUE
France,2021,angers sco,saint-étienne,TRUE
France,2021,fc nantes,g. bordeaux,TRUE
France,2021,fc nantes,saint-étienne,TRUE
Italy,2022,atalanta,inter,TRUE
Italy,2022,atalanta,juventus,TRUE
Italy,2024,atalanta,juventus,TRUE
Italy,2024,atalanta,inter,TRUE
Italy,2020,juventus,roma,TRUE
Italy,2020,napoli,roma,TRUE
Spain,2020,getafe,villarreal,TRUE
Spain,2020,getafe,valencia,TRUE
Germany,2021,frankfurt,hoffenheim,TRUE
Italy,2023,fiorentina,sassuolo,TRUE
Italy,2023,sassuolo,torino,TRUE
Italy,2021,atalanta,inter,TRUE
Italy,2021,atalanta,juventus,TRUE
Italy,2019,brescia,lecce,TRUE
Spain,2021,getafe,valencia,TRUE
Spain,2021,getafe,villarreal,TRUE
Spain,2021,getafe,sevilla fc,TRUE
Italy,2022,sampdoria,sassuolo,TRUE
Italy,2022,fiorentina,sassuolo,TRUE
Italy,2022,sassuolo,torino,TRUE
Italy,2020,sampdoria,torino,TRUE
Italy,2020,fiorentina,sampdoria,TRUE
Italy,2023,atalanta,inter,TRUE
Italy,2023,atalanta,juventus,TRUE
Spain,2023,getafe,valencia,TRUE
Spain,2023,getafe,villarreal,TRUE
Spain,2023,getafe,sevilla fc,TRUE
Spain,2023,valencia,villarreal,TRUE
Spain,2023,sevilla fc,valencia,TRUE
Spain,2023,atlético,valencia,TRUE
Spain,2023,barcelona,valencia,TRUE
Germany,2022,freiburg,mainz,TRUE
Germany,2022,hoffenheim,mainz,TRUE
Germany,2022,frankfurt,mainz,TRUE
Italy,2023,fiorentina,torino,TRUE
Italy,2020,fiorentina,torino,TRUE
Germany,2022,hoffenheim,leverkusen,TRUE
Germany,2022,frankfurt,leverkusen,TRUE
England,2023,everton,west ham,TRUE
England,2023,tottenham,west ham,TRUE
England,2022,arsenal,man utd,TRUE
England,2024,everton,west ham,TRUE
Italy,2019,juventus,roma,TRUE
Italy,2018,juventus,roma,TRUE
Germany,2022,frankfurt,freiburg,TRUE
France,2022,montpellier,nice,TRUE
France,2022,fc nantes,montpellier,TRUE
France,2022,angers sco,montpellier,TRUE
France,2022,lille,montpellier,TRUE
France,2022,lyon,montpellier,TRUE
France,2022,fc nantes,nice,TRUE
France,2022,marseille,nice,TRUE
France,2022,angers sco,nice,TRUE
France,2022,lille,nice,TRUE
England,2024,tottenham,west ham,TRUE
Italy,2023,fc empoli,salernitana,TRUE
Spain,2018,atlético,real madrid,TRUE
Spain,2018,atlético,valencia,TRUE
Spain,2018,atlético,barcelona,TRUE
Spain,2018,barcelona,real madrid,TRUE
England,2023,chelsea,everton,TRUE
Italy,2022,fiorentina,torino,TRUE
Italy,2022,fiorentina,sampdoria,TRUE
Italy,2022,sampdoria,torino,TRUE
Spain,2017,dep. la coruña,málaga cf,TRUE
Italy,2024,bologna,fiorentina,TRUE
Italy,2024,bologna,udinese,TRUE
Italy,2024,bologna,torino,TRUE
Italy,2024,fiorentina,torino,TRUE
Italy,2024,fiorentina,udinese,TRUE
Spain,2023,real betis,real sociedad,TRUE
Spain,2023,athletic club,real betis,TRUE
Spain,2023,celta de vigo,real betis,TRUE
Spain,2023,athletic club,real sociedad,TRUE
Spain,2023,celta de vigo,real sociedad,TRUE
Italy,2021,sampdoria,torino,TRUE
Italy,2021,fiorentina,torino,TRUE
Spain,2017,atlético,real madrid,TRUE
Spain,2017,atlético,barcelona,TRUE
Spain,2017,atlético,valencia,TRUE
Spain,2017,barcelona,real madrid,TRUE
Germany,2023,augsburg,mainz,TRUE
Germany,2023,augsburg,hoffenheim,TRUE
Germany,2023,augsburg,freiburg,TRUE
Germany,2023,augsburg,frankfurt,TRUE
Germany,2023,augsburg,wolfsburg,TRUE
Germany,2023,freiburg,mainz,TRUE
Germany,2023,hoffenheim,mainz,TRUE
Germany,2023,frankfurt,mainz,TRUE
Germany,2023,mainz,wolfsburg,TRUE
Spain,2022,getafe,valencia,TRUE
Spain,2022,getafe,villarreal,TRUE
Spain,2022,getafe,sevilla fc,TRUE
Spain,2022,valencia,villarreal,TRUE
Spain,2022,sevilla fc,valencia,TRUE
Spain,2022,atlético,valencia,TRUE
Spain,2022,real madrid,valencia,TRUE
France,2020,lyon,marseille,TRUE
France,2020,lyon,monaco,TRUE
France,2020,marseille,monaco,TRUE
Germany,2023,frankfurt,freiburg,TRUE
Germany,2023,freiburg,hoffenheim,TRUE
Spain,2021,celta de vigo,real betis,TRUE
England,2022,liverpool,man utd,TRUE
Italy,2021,inter,juventus,TRUE
Italy,2021,inter,napoli,TRUE
England,2024,man utd,tottenham,TRUE
England,2024,arsenal,man utd,TRUE
England,2024,chelsea,man utd,TRUE
England,2024,arsenal,tottenham,TRUE
England,2024,chelsea,tottenham,TRUE
Spain,2022,athletic club,real sociedad,TRUE
Spain,2022,athletic club,celta de vigo,TRUE
Spain,2022,athletic club,real betis,TRUE
Spain,2022,real betis,real sociedad,TRUE
Spain,2022,celta de vigo,real sociedad,TRUE
Italy,2024,torino,udinese,TRUE
Spain,2022,celta de vigo,real betis,TRUE
Spain,2019,atlético,real madrid,TRUE
Spain,2019,atlético,barcelona,TRUE
Spain,2019,atlético,valencia,TRUE
Spain,2019,barcelona,real madrid,TRUE
Germany,2024,freiburg,mainz,TRUE
Germany,2024,frankfurt,freiburg,TRUE
Germany,2024,augsburg,freiburg,TRUE
Germany,2024,freiburg,hoffenheim,TRUE
Germany,2024,augsburg,mainz,TRUE
Germany,2024,frankfurt,mainz,TRUE
Germany,2024,hoffenheim,mainz,TRUE
Germany,2024,mainz,wolfsburg,TRUE
Germany,2024,augsburg,hoffenheim,TRUE
Germany,2024,augsburg,frankfurt,TRUE
Germany,2024,augsburg,wolfsburg,TRUE
Spain,2024,real betis,real sociedad,TRUE
Spain,2024,athletic club,real betis,TRUE
Spain,2024,celta de vigo,real betis,TRUE
Spain,2024,athletic club,real sociedad,TRUE
Spain,2024,celta de vigo,real sociedad,TRUE
France,2021,g. bordeaux,saint-étienne,TRUE
Italy,2022,cremonese,lecce,TRUE
Italy,2022,cremonese,monza,TRUE
Italy,2022,lecce,monza,TRUE
France,2022,angers sco,fc nantes,TRUE
France,2022,fc nantes,lille,TRUE
England,2023,man utd,tottenham,TRUE
England,2023,arsenal,man utd,TRUE
England,2023,chelsea,man utd,TRUE
England,2023,liverpool,man utd,TRUE
England,2023,arsenal,tottenham,TRUE
England,2023,chelsea,tottenham,TRUE
England,2023,liverpool,tottenham,TRUE
Italy,2017,juventus,roma,TRUE
Spain,2020,sevilla fc,villarreal,TRUE
Spain,2020,sevilla fc,valencia,TRUE
Spain,2020,atlético,sevilla fc,TRUE
Spain,2020,valencia,villarreal,TRUE
Spain,2020,atlético,real madrid,TRUE
Spain,2020,atlético,barcelona,TRUE
Spain,2020,barcelona,real madrid,TRUE
Spain,2021,valencia,villarreal,TRUE
Spain,2021,sevilla fc,valencia,TRUE
Italy,2024,inter,juventus,TRUE
Spain,2023,atlético,barcelona,TRUE
Spain,2023,atlético,real madrid,TRUE
Spain,2023,atlético,sevilla fc,TRUE
Spain,2023,atlético,villarreal,TRUE
Spain,2023,barcelona,real madrid,TRUE
France,2024,lyon,marseille,TRUE
France,2024,lyon,monaco,TRUE
France,2024,lyon,nice,TRUE
France,2024,lille,lyon,TRUE
France,2024,lyon,montpellier,TRUE
France,2024,marseille,monaco,TRUE
France,2024,marseille,nice,TRUE
France,2024,lille,marseille,TRUE
France,2024,marseille,montpellier,TRUE
Spain,2023,athletic club,celta de vigo,TRUE
Germany,2024,holstein kiel,st. pauli,TRUE
France,2022,ac ajaccio,aj auxerre,TRUE
France,2022,ac ajaccio,toulouse,TRUE
France,2022,aj auxerre,toulouse,TRUE
Germany,2023,hoffenheim,leverkusen,TRUE
France,2023,fc nantes,montpellier,TRUE
France,2023,fc nantes,nice,TRUE
France,2023,montpellier,nice,TRUE
France,2023,lille,montpellier,TRUE
France,2023,lyon,montpellier,TRUE
France,2023,marseille,montpellier,TRUE
England,2019,liverpool,man city,TRUE
Spain,2022,atlético,barcelona,TRUE
Spain,2022,atlético,real madrid,TRUE
Spain,2022,atlético,sevilla fc,TRUE
Spain,2022,atlético,villarreal,TRUE
Spain,2022,barcelona,real madrid,TRUE
Germany,2022,frankfurt,hoffenheim,TRUE
France,2022,lyon,monaco,TRUE
France,2022,lyon,marseille,TRUE
France,2022,lille,lyon,TRUE
France,2022,marseille,monaco,TRUE
Spain,2021,sevilla fc,villarreal,TRUE
Spain,2021,atlético,sevilla fc,TRUE
Spain,2021,real madrid,sevilla fc,TRUE
Germany,2023,frankfurt,hoffenheim,TRUE
France,2023,lyon,nice,TRUE
France,2023,marseille,nice,TRUE
France,2023,lille,nice,TRUE
Spain,2024,atlético,barcelona,TRUE
Spain,2024,atlético,real madrid,TRUE
Spain,2024,atlético,villarreal,TRUE
Spain,2024,atlético,sevilla fc,TRUE
Spain,2024,barcelona,real madrid,TRUE
France,2024,monaco,nice,TRUE
France,2024,lille,monaco,TRUE
England,2023,arsenal,chelsea,TRUE
England,2023,arsenal,liverpool,TRUE
France,2023,lyon,monaco,TRUE
France,2023,lyon,marseille,TRUE
France,2023,lille,lyon,TRUE
France,2023,marseille,monaco,TRUE
France,2023,lille,monaco,TRUE
France,2023,lille,marseille,TRUE
Spain,2022,real madrid,sevilla fc,TRUE
Spain,2022,real madrid,villarreal,TRUE
France,2021,lyon,marseille,TRUE
France,2021,lyon,monaco,TRUE
France,2021,lille,lyon,TRUE
France,2021,marseille,monaco,TRUE
Italy,2022,inter,juventus,TRUE
Italy,2022,inter,napoli,TRUE
Germany,2024,frankfurt,hoffenheim,TRUE
France,2022,lille,marseille,TRUE
Spain,2021,atlético,real madrid,TRUE
Spain,2021,atlético,barcelona,TRUE
Spain,2021,barcelona,real madrid,TRUE
Spain,2024,athletic club,celta de vigo,TRUE
Spain,2022,sevilla fc,villarreal,TRUE
Spain,2024,real madrid,villarreal,TRUE
Spain,2024,real madrid,sevilla fc,TRUE
France,2024,fc nantes,montpellier,TRUE
France,2024,montpellier,nice,TRUE
France,2024,lille,montpellier,TRUE
France,2017,fc metz,stade rennais,TRUE
France,2017,fc metz,psg,TRUE
Spain,2023,sevilla fc,villarreal,TRUE
Spain,2023,real madrid,sevilla fc,TRUE
Spain,2023,real madrid,villarreal,TRUE
Italy,2023,inter,juventus,TRUE
France,2024,lille,nice,TRUE
England,2019,aston villa,norwich,TRUE
England,2019,aston villa,sheff utd,TRUE
England,2019,norwich,sheff utd,TRUE
France,2020,fc lorient,lens,TRUE
England,2024,leicester,southampton,TRUE
Italy,2022,juventus,napoli,TRUE
England,2020,liverpool,man city,TRUE
Spain,2024,sevilla fc,villarreal,TRUE
England,2024,arsenal,liverpool,TRUE
England,2024,arsenal,man city,TRUE
England,2021,liverpool,man city,TRUE
England,2024,liverpool,man city,TRUE
France,2021,fc lorient,lens,TRUE
England,2023,liverpool,man city,TRUE
England,2022,liverpool,man city,TRUE
Spain,2022,girona,ud almería,TRUE
England,2020,aston villa,sheff utd,TRUE
France,2022,fc lorient,lens,TRUE
Italy,2024,lecce,monza,TRUE
Italy,2023,lecce,monza,TRUE
Germany,2019,sc paderborn,union berlin,TRUE
Germany,2018,fc schalke 04,mönchengladbach,TRUE
France,2017,psg,stade rennais,TRUE
Germany,2017,fc schalke 04,mönchengladbach,TRUE
Germany,2017,1.fc köln,fc schalke 04,TRUE
Germany,2017,1.fc köln,mönchengladbach,TRUE
Germany,2019,fc schalke 04,mönchengladbach,TRUE
France,2023,fc lorient,lens,TRUE
Germany,2020,fc schalke 04,mönchengladbach,TRUE
Germany,2023,darmstadt 98,heidenheim,TRUE
Germany,2018,1.fc nuremberg,f. düsseldorf,TRUE
England,2020,leeds,west brom,TRUE
France,2023,psg,stade rennais,TRUE
France,2022,psg,stade rennais,TRUE
Italy,2017,ac milan,hellas verona,TRUE
France,2024,psg,stade rennais,TRUE
France,2021,psg,stade rennais,TRUE
France,2018,psg,stade rennais,TRUE
France,2019,psg,stade rennais,TRUE
France,2020,psg,stade rennais,TRUE
